# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
「一応補足しておくが、\n学園アイドルはユリヒメだけではない。\n獅堂や盾守の奪還も忘れないでおいてもらおう。」	“补充一句，\n学园偶像可不只有百合姬。\n也别忘了夺回狮堂和盾守。”
「フェイリクスは今、生徒会室に居るようだ。」	“费利克斯现在似乎就在学生会室。”
「奴は生徒会長の<ruby=しどう>獅堂</ruby>を洗脳し\n<ruby=せいおうがくえん>聖皇学園</ruby>の<ruby=じっしつてきさいこうけんりょくしゃ>実質的最高権力者</ruby>に<ruby=くんりん>君臨</ruby>している。」	“他洗脑了学生会长<ruby=しどう>狮堂</ruby>，\n以<ruby=せいおうがくえん>圣皇学园</ruby>的<ruby=じっしつてきさいこうけんりょくしゃ>实际最高权力者</ruby>身份<ruby=くんりん>君临</ruby>于此。”
「いまやこの学園は\nフェイリクスに支配されてるって事ッスね。」	“也就是说，这所学园现在\n已经被费利克斯支配了。”
「支配されてると言いつつ、\nこの科学室はモロ聖皇学園の<ruby=しきちない>敷地内</ruby>にあるんだけど。」	“你说学园被支配了，\n可这间科学教室明明就在圣皇学园的<ruby=しきちない>校地内</ruby>。”
「大体、影山だって人間の癖になんで\nフェイリクスに洗脳されてねーんだよ。」	“说到底，影山明明也是人类，\n为什么没被费利克斯洗脑？”
「この科学室は<ruby=ちがいほうけん>治外法権</ruby>だ。\nそして、三流オートマタであるフェイリクス<ruby=ごと>如</ruby>きの\n<ruby=マインドコントロール>精神干渉</ruby>ではこの私を洗脳出来はしない。」	“这间科学教室是<ruby=ちがいほうけん>法外之地</ruby>。\n而且，费利克斯<ruby=ごと>这种</ruby>三流自动人偶的\n<ruby=マインドコントロール>精神干涉</ruby>，不可能洗脑本大爷。”
「………なんかよくわかんねーが\nお前には洗脳が効かないって事か。」	“………虽然我没太听懂，\n总之就是洗脑对你没用？”
「よーし。川島さん。\n早速、フェイリクスの居る生徒会室に\nカチコミに行くとしようぞ。」	“好。川岛先生。\n我们这就去费利克斯所在的学生会室\n砸场子吧。”
「え？いきなりラスボスに最終決戦仕掛ける感じ？」	“啊？这是要突然向最终头目发起决战的节奏？”
「ほら、よく言われるじゃないッスか。\nRPGの序盤で魔王が勇者を倒せば\n速攻物語が終わってしまうってアレ。」	“不是经常有人说嘛。\n如果魔王在RPG序章就打倒勇者，\n故事马上就结束了。”
「ゲーム開始時のレベルの低い勇者なら\nすぐに倒せてしまうのに何故魔王は攻めに来ないのか。\nRPG最大の謎だな。」	“游戏开始时勇者等级那么低，\n明明马上就能打倒，魔王却为什么不来进攻。\n这可是RPG最大的谜题。”
「そいつを逆手にとって\nフェイリクスに奇襲を掛けるんスよ。」	“我们就利用这一点，\n对费利克斯发动奇袭。”
「なるほど。今のレベルの低いフェイリクスなら\n最大の好機というわけか。」	“原来如此。现在费利克斯等级还低，\n正是最好的机会。”
「いや、ちょっと待て。\nお前らフェイリクスが勇者の前提で喋ってるけど\n本当は俺らが勇者側なのでは？」	“不，等等。\n你们一直把费利克斯当勇者来讲，\n其实我们才是勇者一方吧？”
「甘いッスね。川島さん。」	“太天真了，川岛先生。”
「――――――最後に勝ったものこそが勇者ッス。」	“――――――最后获胜的人才是勇者。”
「<ruby=しんり>真理</ruby>だな。」	“这就是<ruby=しんり>真理</ruby>。”
「じゃあ、結局俺らが勇者になっちゃうじゃねーか。」	“那最后不还是我们变成勇者了吗。”
「<ruby=し>四</ruby>の<ruby=ご>五</ruby>の言ってないで早く行くッスよ。\nこれがラストバトルッス。」	“别<ruby=し>四</ruby>下<ruby=ご>五</ruby>下地啰嗦了，赶紧走。\n这可是最终战。”
「川島。これまでお前が<ruby=つちか>培</ruby>ってきたもの\nすべてを奴にぶつける時が来た。\nこの戦いに勝利しこの学園に平和を<ruby=もたら>齎</ruby>すのだ。」	“川岛。是时候把你至今<ruby=つちか>积累</ruby>的一切\n全部用在那家伙身上了。\n赢下这场战斗，为这所学园<ruby=もたら>带来</ruby>和平吧。”
「こんな序盤でそんな<ruby=クライマックス>最終局面</ruby>みたい台詞聞かされても\n全然入って来ないんだけど。」	“才刚开场就听这种<ruby=クライマックス>最终决战</ruby>似的台词，\n我完全代入不了啊。”
「エンディングまで、泣くんじゃない。」	“不到结局，不许哭。”
「おいやめろ。そのキャッチコピーはあぶない。」	“喂，住手。那句宣传语很危险。”
「フェイリクスは\nこの扉の向こうの生徒会室に居るッス。」	“费利克斯就在\n这扇门后面的学生会室里。”
「準備はいいッスか？川島さん。」	“准备好了吗，川岛先生？”
「おう。ここまで来たからには\nとことんやってやるぜ。」	“哦。既然都走到这一步了，\n我就奉陪到底。”
「ふっ。ついに吹っ切れたッスね。\nその意気ッス。」	“呵。你终于振作起来了。\n就是这股气势。”
「では、突入ッ！」	“那么，突入！”
「オラァッ！！\n<ruby=ねんぐ>年貢</ruby>の<ruby=おさ>納</ruby>め時だぜッ！フェイリクスッ！！」	“喝啊！！\n费利克斯，<ruby=ねんぐ>缴纳年贡</ruby>的<ruby=おさ>时候</ruby>到了！！”
（俺が勢いよく扉を<ruby=けやぶ>蹴破</ruby>り突入するとそこには――――）	（我猛地<ruby=けやぶ>踹开</ruby>门冲进去，眼前却是――――）
「はい。川島くん。あーん。」	“来，川岛同学。啊——”
「あーん。もぐもぐ。」	“啊——嚼嚼。”
「どう？家庭科の授業で作ったプリンなんだけど。\n美味しい？」	“怎么样？这是家政课上做的布丁。\n好吃吗？”
「とても美味しいよ。\n料理が上手なんだね。サツキ。」	“非常好吃。\n皋月，你很擅长做饭呢。”
「あぁっ。ずるいっ。\n川島さんっ。私も作ったから食べて食べて。」	“啊！太狡猾了。\n川岛先生，我也做了，快吃快吃。”
「はあ！？　あんた料理ドヘタクソなんだから\nそんな危険物ユートに食べさせないでよね！\n獅堂ミナトッ！」	“哈！？你做饭烂透了，\n别把那种危险物品给悠斗吃啊！\n狮堂凑！”
「チッ。川島さんから特注のオートマタを借りておいて\n無様に負けて帰って来た負け犬が何か言ってるわね。」	“啧。借了川岛先生特制的自动人偶，\n结果狼狈落败回来的丧家犬又在吠了。”
「ああ！？誰が負け犬だって！？\nあ、あの時はちょっと油断しただけよッ！\n次は必ず勝つわッ！」	“啊！？你说谁是丧家犬！？\n我、我当时只是稍微大意了！\n下次我一定会赢！”
「どうして負け犬って\nこんなにもよく吠えるのかしら。」	“丧家犬为什么\n总是叫得这么欢呢。”
「あんですってぇえええ～～～ッ！！\n獅堂ミナトぉおおおーーーーッ！！」	“你说什么——！！\n狮堂凑——！！”
「おい、やめんか二人とも。\nユートの前ではしたない。」	“喂，你们两个住手。\n在悠斗面前吵吵闹闹，成何体统。”
「せっかくのユートとの\nふれあいの時間だというのに\n大人しく出来んのか。」	“难得有和悠斗\n亲近的时间，\n就不能安分一点吗。”
「ユリ先生っ！だってこいつが！」	“百合老师！可是这家伙他！”
「やれやれ。すまんなユート。\nウチの生徒が<ruby=そそう>粗相</ruby>をして。」	“真是的。抱歉啊，悠斗。\n我家学生<ruby=そそう>失礼</ruby>了。”
「なに。ユリヒメのせいじゃないよ。」	“没事，不是百合姬的错。”
「ユリヒメはいつも<ruby=せいいっぱい>精一杯</ruby>生徒の為に頑張ってる。\nそれは僕も理解してるつもりさ。」	“百合姬一直都在为学生们<ruby=せいいっぱい>竭尽全力</ruby>。\n这一点我也一直看在眼里。”
「……ユート（きゅん）」	“……悠斗（心动）”
（フェイリクスの浮ついた<ruby=ぎぜん>偽善</ruby>だらけの言葉に\nユリ姉は頬赤らめる。）	（听着费利克斯那番轻浮、充满<ruby=ぎぜん>伪善</ruby>的话，\n百合姐羞红了脸。）
「おいテメエエエエッ！！\nユリ姉を寝取ろうとしてんじゃねぇえええーーーッ！！！」	“喂，你这混账！！\n别想把百合姐抢走啊——！！！”
「大丈夫ッスよ。川島さん。\nユリせんせーは既に寝取られてるッス。」	“没事的，川岛先生。\n百合老师已经被抢走了。”
「何も大丈夫じゃねぇだろうがッ！！」	“哪里没事了！！”
「なっ！あんたはいつぞやの\n暴走オートマタッ！何故ここにッ！」	“什么！你是之前那个\n失控的自动人偶！为什么会在这里！”
「いや気づけよッ！」	“你倒是早点认出来啊！”
「<ruby=たてがみ>盾守</ruby>パイセン。\n暴走オートマタという呼び方は正しくない。」	“<ruby=たてがみ>盾守</ruby>前辈。\n称呼我为失控自动人偶并不准确。”
「このオートマタには\nメカワシマという名前があるんスよ。」	“这个自动人偶\n有一个名字，叫机械川岛。”
「メ……メカワシマ……？」	“机……机械川岛……？”
「あはは。メカワシマだって。\nおっかしー。」	“啊哈哈。机械川岛。\n真好笑。”
「なにわろてんねん。」	“笑什么笑。”
「いやちょっと待て。\nメカワシマって名前はどっから来た？」	“不，等一下。\n机械川岛这个名字是从哪来的？”
「メカ<ruby=かわしま>川島</ruby>。略してメカワシマ。」	“机械<ruby=かわしま>川岛</ruby>。简称机械川岛。”
「……ダッセェー。\nそれだったらこの機体の型番である\n<ruby=サイファー>CIPHER</ruby>でよかったのでは。」	“……真土。\n既然如此，叫这台机体的型号\n<ruby=サイファー>CIPHER</ruby>不就好了。”
「で、そのメカワシマとやらは一体何用ですか？\nここは川島さんと私の愛の巣ですよ？」	“那么，那个机械川岛到底是来做什么的？\n这里可是我和川岛先生的爱巢哦？”
「なっ！なんであんたとユートだけなのよッ！\n私も居るんだから私達の愛の巣でしょうがッ！」	“什么！凭什么只有你和悠斗！\n我也在这里，这明明是我们大家的爱巢！”
